publish_date,headline,description
2/19/20,Top Colleges in the West for Student Outcomes,"Stanford heads this list from the WSJ/THE College Rankings, followed by Caltech, UCLA and Berkeley"
2/20/20,"Texas Tycoon Clayton Williams Survived Oil Bust, Flopped in Politics","Entrepreneur, riding high on cowboy image, blew a big lead in polls to lose 1990 gubernatorial election"
2/20/20,Swiss Regulator Censures Julius Baer in FIFA Money Laundering Case,"The Swiss bank failed to do enough to identify to determine the identity of its clients, Switzerland’s Market Watchdog says "
2/20/20,Maersk Warns of Lower Earnings From Coronavirus Impact,The world’s biggest container ship operator says efforts to hold back the spread of the virus are weighing on both China’s exports and imports 
2/20/20,U.S. Blacklists Five Senior Iranian Officials Ahead of Parliamentary Elections,Treasury Department alleges the officials prevented fair elections in Iran 
2/20/20,More Manufacturers Bet on Simulation Software,Tool allows auto makers and others to assess how changes to a line will affect production
2/20/20,New Mexico Sues Google Over Children’s Data Privacy,"State alleges tech company’s education platform improperly gathers students’ personal data, tracks their online behavior"
2/20/20,Volkswagen CFO Frank Witter to Step Down in June 2021,He has led the German auto maker’s finances since 2015
2/21/20,What the E*Trade Deal Tells You About the New Investing Game,The days of the ‘financial supermarket’ are over. Investment firms want to grab as much of your money as they can.
2/21/20,Today’s Logistics Report: Maersk Seeks Anchor; Canada’s Rail Standoff; Garlic Markets Pressed,Today’s Top Supply Chain & Logistics News from WSJ
2/21/20,California Disputes Trump Administration’s Claim That Abortion-Coverage Mandate Violates U.S. Law,State’s response comes after administration officials threaten to withhold federal funds 
2/21/20,Trump Says He’s Prepared to Give More Aid to Farmers Hurt by Trade Conflict,President raises prospect of third aid program to offset export losses until new trade deals pay off 
2/21/20,Marriott Hires Former Merck CIO as Tech Chief,Jim Scholefield is also a veteran of Nike and Coca-Cola
2/21/20,FDA Clears New Type of Cholesterol Drug,Doctors see the drug as an alternative for millions of patients who can’t take or aren’t responding to statins 
2/21/20,SEC Rejects Controversial ‘Speed Bump’ Proposal,Regulator disapproves plan from Cboe to introduce trading delay to one of its exchanges
2/21/20,"The Premier League’s Mad, Mad, Mad, Mad Dash for Fifth Place",Manchester City’s European ban has breathed new life into a snooze of a season
2/21/20,I’m in Love—With a Weighted Blanket,Heavy comforters promise to alleviate stress and promote sleep. But sometimes you just need a hug. 
2/21/20,"DSV Expects Job Reductions of Up to 4,000 on Panalpina Integration",European freight forwarder expects $332 million in annual cost savings from post-acquisition consolidation 
2/21/20,You’re a Scorpio? Why the Earth’s Wobble Means Your Zodiac Sign Isn’t What You Think,"Over span of human life, Earth’s movement makes stars appear to shift to east by about one degree "
2/21/20,Canadian Rail Blockades Highlight Grievances of Indigenous Groups,
2/21/20,Greyhound to Stop Allowing Border Patrol on Its Buses Without Warrant,Friday’s policy change followed a government memo saying agents couldn’t board buses to question passengers without a warrant or company consent
2/21/20,Iran Faces Long-Term Banking Woes Under Terror-Finance Watchdog Action,"Tehran’s blacklisting by the Financial Action Task Force sends a signal to Pakistan, which is also in the watchdog’s sights "
2/21/20,A Richard Neutra-Designed Home on the California Coast Asks $15 Million,"Filmmaker Marc Forster is selling the white stucco property in Santa Monica, which was commissioned by a pair of Hollywood hopefuls in the 1930s"
2/21/20,Wells Fargo Reaches Settlement With Government Over Fake-Accounts Scandal,Bank to pay $3 billion to settle investigations by the Justice Department and SEC
2/21/20,How to Change Anyone’s Mind,"People instinctively resist being forced to do things differently. Instead of pushing, try removing the barriers that stand in their way."
2/21/20,SEC Investigates Altria’s Investment in Juul,Regulators investigating Marlboro maker’s disclosures after two charges totaling $8.6 billion 
2/21/20,How One Singapore Sales Conference Spread Coronavirus Around the World,
2/21/20,"Fox, Comcast Pursue Takeovers of Ad-Supported Video Services",Entertainment giants increasingly look to give consumers free or low-cost alternatives to premium subscription streaming services
2/21/20,Bernie Sanders Was Warned Russia Is Trying to Boost His Presidential Campaign,"U.S. officials briefed candidate about a month ago, in reaction to intelligence said to be considered compelling"
2/21/20,Google Resists Demands From States in Digital-Ad Probe,Company is reluctant to surrender some documents in investigation of possible anticompetitive practices
2/21/20,A Man for All Seasons at 100,What has brought my father to the century mark? A life defined by duty.
2/21/20,Weinstein Jury Appears Deadlocked on Predatory Sexual Assault,"Panel asks if it can reach partial verdict on rape, criminal-sex act counts, prompting judge to tell them to keep deliberating"
2/21/20,Do the Benefits of Digital Devices in School Classrooms Outweigh the Downsides?,Proponents say new technologies are essential in education and can help narrow the achievement gap; critics say they are setting many students back
2/21/20,The Architect Who Wants to Rebuild Notre Dame as It Was,"Philippe Villeneuve, who oversees France’s historic monuments, is resisting efforts to rebuild the cathedral’s iconic spire with a ‘contemporary’ touch "
2/21/20,Boeing Finds Fuel-Tank Debris in Two-Thirds of 737 MAX Jets Inspected,"The scale of the problem, previously unreported, points to wider quality issues that have bedeviled the aerospace giant"
2/21/20,HBO Max Will Include ‘Friends’ Reunion Special,"Launching in May, new streaming service also will have previous episodes "
2/21/20,"Richard J. Fox, Philadelphia Real-Estate Developer, Championed Temple University",Entrepreneur managed arena project and fought long battle to build a community near Valley Forge park
2/21/20,EBay Moves Toward Selling Its Classified-Ads Business,"Private-equity firms including TPG and Blackstone, as well as strategic bidders, have shown interest "
2/21/20,"The Robot in Aisle Five Isn’t Stalking You. No, Really.",
2/21/20,CFOs Adapt to Workers Negotiating for Higher Pay,"Finance chiefs are realizing they must increase salary offers, staffing firm says "
2/21/20,Nine Ways to Make Your Work Day Better,A new book argues that headphones in the office can be helpful; weekend email not so much.
2/21/20,Losing Your Hair? Why This Solution Is No Longer Shameful,"Discussing waning manes is suddenly fashionable thanks to new, stigma-free products and evolved attitudes toward thinning tresses "
2/22/20,Google Plots Course to Overtake Cloud Rivals,Job cuts are part of yearlong push to shake up unit and focus on delivering growth to Alphabet
2/22/20,Legacy Preference Gets Fresh Look Following College-Admissions Scandal,Universities have defended custom as needed to encourage donations from alumni
2/22/20,The Invisible King of Broadway,"John Gore has quietly built an empire with a stake in everything from funding to touring to ticket sales, while staying out of the spotlight"
2/22/20,The Controversial Past of the Tycoon Behind the Astros,"When Jim Crane bought Houston’s baseball team in 2011, the league had concerns about his business history. Then the Astros became the epicenter of baseball’s biggest scandal."
2/22/20,The Pleasure of Defying Food Fashions,Fads like avocado toast are bad for farmers and make menus duller. It’s time to cultivate unfashionable tastes.
2/22/20,Trump Era Challenges Maine Voters’ Loyalty to Susan Collins,Democrats see Maine race as pivotal in bid to win Senate control 
2/22/20,Can Sporty Sedans Still Thrive in an SUVs’ World?,"Alfa Romeo’s tasty Giulia has lovely curves, a powerful engine and an updated UX inside. So why are sales plummeting? Dan Neil explores how this immortal beauty fits into the current auto landscape"
2/22/20,"U.S., Taliban Start Weeklong Partial Truce in Effort to End Afghan War","U.N. says more than 10,000 civilians killed and injured in Afghanistan last year "
2/22/20,Intuit Near Deal to Buy Credit Karma for $7 Billion,Acquisition would be Intuit’s largest ever and the first sizable transaction under CEO Sasan Goodarzi
2/22/20,Singapore Isn’t Kidding When It Comes to Fostering Fertility,"Government offers cash grants and public housing, but birthrates remain stubbornly low"
2/22/20,Don’t Talk to Strangers? These Apps Encourage It.,Young people flock to apps that let them chat with like-minded people online. But safeguards are imperfect. 
2/22/20,Wall-to-Wall Carpet Is Back: Why Design Pros Love (and Hate) It,The memory of icky midcentury shag and synthetic cut pile has left many skeptical of broadloom carpet. But advances in technology are changing some minds
2/22/20,One Last Shot for a Historic Manhattan Bar,South Street Seaport’s Bridge Cafe has remained closed since superstorm Sandy. Its former manager still hopes to revive it. 
2/22/20,Trump’s India Visit to Stress Personal Ties Over Economic Issues,"The U.S. president will likely receive a festive welcome from Prime Minister Modi, including a rally at a 110,000-seat cricket stadium"
2/22/20,Carlos Ghosn’s New Life in Exile,
2/22/20,Twitter Suspends Some Accounts Backing Michael Bloomberg,Social-media site says users violated rules against manipulation and spam
2/22/20,Build a Smoother Smoothie. You’ve Earned It.,"With a calming shot of rum and considerably less sugar, this grown-up riff on an Orange Julius takes the edge off winter (and aging)"
2/22/20,"Italy, South Korea Work to Contain Coronavirus Outbreaks",International health officials are worried about growing clusters of the illness outside of China
2/22/20,‘To Kill a Mockingbird’ Gets a Bigger Stage—for a Day,"In rare occasion, production will be put on in Madison Square Garden for New York City teens "
2/22/20,Dropbox Finally Doesn’t Drop,Lowly valued cloud player boosts profitability target and drops in a buyback plan 
2/22/20,Warren Buffett’s Berkshire Hathaway Stock Underperforms the Most Since 2009,The conglomerate’s stock rose 11% in 2019 compared with a 31.5% total return in the S&P 500
2/23/20,‘No One Should Experience Such Heartache’: Readers Share Stories of Losing Loved Ones to Drug Addiction,"‘What a Father Learned After Losing Both Sons to Drug Overdoses,’ an interview with author Steve Grant, prompted readers to relate their experiences"
2/23/20,Natural-Gas Exporters Struggle to Lock Up Buyers Despite ‘Freedom Gas’ Pitch,"President Trump plans to make the case during his trip to India, but the global gas glut has made the market more commoditized"
2/23/20,Russia Leans on Mercenary Forces to Regain Global Clout,Campaigns in Africa and the Middle East involve private security contractors and business interests with ties to Kremlin
2/23/20,Residents in Mississippi Capital and Beyond Brace for More Flooding,
2/23/20,Does the U.S. Need a National Digital Currency?,Proponents say payments with a digital dollar would be faster and easier. Opponents say it would be costly and inefficient.
2/23/20,Should All Children Learn to Code by the End of High School?,Supporters say coding know-how is good for students in an increasingly digital world. Opponents say public schools shouldn’t serve as job-training sites for tech companies.
2/23/20,"Move Over, Elliott. Argentina’s New Bond-Market Nemesis Is Fidelity.","The mutual-fund giant isn’t known for tough tactics, but its hard line on a $250 million payment underscores the growing power of large fund firms"
2/23/20,What’s the Best Way to Use the Cloud to Store Personal Data?,The Wall Street Journal hosted a conversation by email with three experts on cloud storage and the security and privacy issues around it
2/23/20,"Democratic Leaders Split on Taxes, New Bail Law",Assembly members expected to propose raising income taxes to address budget deficit; senators are reluctant 
2/23/20,ESG Funds Mostly Track the Market,Push toward ‘sustainability’ in investing so far isn’t having outsize impact on stocks 
2/23/20,Turning to Weightlifting to Battle Against ‘Skinny Fat’,
2/23/20,"Swiss Franc Climbs Against Euro, Leaving Central Bank in Bind","Swiss National Bank might be forced to intervene to stem franc’s rise, which risks angering U.S. "
2/23/20,"Tapping Trump’s Anger About 2016 Surveillance, White House Seeks Overhaul of Spying Law",Effort is spurred by president’s criticism of the investigation of former campaign adviser Carter Page 
2/23/20,Bernie Sanders Looks Ahead After Nevada Caucuses Win,"Contests in 15 states over the coming week and a half, including Super Tuesday, could determine the course of the race for the Democratic nomination."
2/23/20,"Losing $450,000 in Three Days: Hackers Trick Victims Into Big Wire Transfers",
2/23/20,"If You Knead No-Carb Bread, It Might Cost You Some Dough","Hoping to make the perfect loaf with no (or few) carbs, bakers are trying ingredients including bamboo, green bananas, cauliflower and powdered collagen. ‘It looked like silicon, globs of silicon and glue all through it.’
		
			"
2/23/20,"Physicians, Hospitals Meet Their New Competitor: Insurer-Owned Clinics",Insurers are a new threat to doctors and hospital systems that have made big investments in physician practices 
2/23/20,Boeing Offers More Support for MAX Suppliers,"A network of 600 big suppliers, plus hundreds of smaller firms, has been in limbo since Boeing halted 737 MAX production "
2/23/20,National Security Adviser Discounts Reports of Russian Interference to Help Re-elect Trump,"‘There’s no briefing that I’ve received, that the president has received, that says that President Putin is doing anything to try and influence the elections in favor of President Trump,’ Robert O’Brien said"
2/23/20,Chinese Military Turns to U.S. University to Conduct Covert Research,Case of Chinese researcher at Boston University renews fears Beijing is targeting American academia
2/23/20,Should Government Halt the Use of Facial-Recognition Technology?,"Critics say false positives are far higher for some groups of people than for others, but supporters of the technology says the actual numbers involved are tiny"
2/23/20,The Take-No-Prisoners Rivalries in Online Luxury Fashion,
2/23/20,Bernie Sanders Looks Ahead After Nevada Caucus Win,Contests in 15 states over the coming week and a half could determine the course of the race
2/23/20,AI Is the Next Workplace Disrupter—and It’s Coming for High-Skilled Jobs,"Occupations most vulnerable to artificial intelligence are marketing specialist, financial adviser and computer programmer, Brookings study finds "
2/23/20,Falling Fuel Costs Buoy U.S. Consumers,
2/23/20,World Economy Shudders as Coronavirus Threatens Global Supply Chains,Manufacturers’ increased reliance on more interconnected China sees shortages ripple around the globe
2/23/20,Coronavirus Spreads Outside China as Officials’ Worries Mount,"The emergence of clusters of infection in new countries including South Korea, Italy and Iran show that it is unclear how the virus is transmitted"
2/23/20,Startups Wrap Brand Identity With Sustainable Packaging,Companies are focusing on whether a customer feels guilty or virtuous about how the product was boxed to drive business results
2/24/20,Texas House Race Tests Democratic Voters’ Appetite for Liberal Insurgents,
2/24/20,Dine Looks to Slow Closures of Applebee’s Restaurants,Company expects franchise operators to close between zero and up to 10 Applebee’s locations this year in the U.S.
2/24/20,"Salesforce, Silver Lake Pump Money Into ServiceMax",The new $80 million investment is aimed at helping the software company beef up product development 
2/24/20,"Assange Put Lives at Risk, U.S. Argues as Extradition Hearing Begins",WikiLeaks founder appears in packed London courtroom for legal battle expected to last several months
2/24/20,He Went to a Hockey Game Expecting Dinner. He Wound Up Getting the Win.,"A talk with “emergency back-up goalie” David Ayres, who stopped the Toronto Maple Leafs Saturday night—and became an overnight NHL sensation"
2/24/20,"Malaysian Prime Minister Mahathir Mohamad Resigns, Cabinet Dissolved",Moves plunge country into chaos less than two years after 94-year-old leader took office in historic election
2/24/20,The Metropolitan Museum of Art Orders the Full English,"After six years of work—and a regime change—the Met unveils its revamped British Galleries, reimagined in cinematic style by design stars Roman and Williams"
2/24/20,Investors Retreat From Oil Firms in Sign of Rising Skepticism,"Major oil companies, pressed to cut carbon emissions, are shunned in markets as they mull greener future"
2/24/20,HSBC Keeps Net Open for New CEO,"Unicredit boss Jean Pierre Mustier ruled himself out, but interim CEO Noel Quinn may still not get the job"
2/24/20,Weinstein Found Guilty of Third-Degree Rape and First-Degree Criminal Sexual Act,Hollywood producer found not guilty of predatory sexual assault and first-degree rape
2/24/20,"With Current Tools, Fed Unlikely To Sustainably Hit Inflation Target: Fed Paper",San Francisco Fed paper finds public worries that in the next downturn the central bank will once again hit de facto zero rates
2/24/20,"Austin, Nashville Rank at Top of Hottest U.S. Job Markets",Apple is building $1 billion corporate campus in Texas capital; Amazon is investing in Tennessee city 
2/24/20,Michael Bloomberg Aims to Improve in His Second Democratic Debate,Former New York City mayor kept away from the public eye all weekend to prepare
2/24/20,Dozens Injured as Car Runs Into Carnival Parade in Germany,Police in the country on high alert since deadly shooting last week
2/24/20,Trump Kicks Off Two-Day India Visit With Massive Rally,"The two countries share concerns about terrorism, immigration and the rise of China as a superpower"
2/24/20,Scientists Detect for the First Time Quakes on Mars,"Initial findings about Martian interior, atmosphere and magnetic field are published in research papers"
2/24/20,Primark Owner ABF Looks for Suppliers Outside of China Amid Coronavirus Outbreak,"U.K. conglomerate has enough inventory to fill shelves in its Primark unit through the summer months, finance chief John Bason says "
2/24/20,Coronavirus Tests Europe’s Open Borders as Italy Death Toll Rises,Schools are closed and gatherings are banned as Italy reports a sixth virus-related death
2/24/20,"Dow Industrials Drop 1,000 Points as Coronavirus Cases Mount Outside Asia","S&P 500, Nasdaq fall more than 3% after steep declines across Europe, Asia; bond yields slide"
2/24/20,‘The Last American Hammer’ Review: Standoff Satire,An unemployed conspiracy theorist faces off against a federal agent inside a museum of Toby jugs in this ruefully humorous work at Pittsburgh Opera.
2/24/20,"As NCAA Handwrings, Female Athletes See Opportunities From Looser Endorsement Rules","Athletes will likely be allowed to promote products and their own businesses under changes to name, image and likeness restrictions "
2/24/20,"With Migrant Workers in Limbo, Part of China’s Economy Is Stalled","Many must choose the least-bad option: Stay in their hometowns without jobs, or return to expensive cities and a 14-day quarantine"
2/24/20,Several Injured as Car Runs Into Carnival Parade in Germany,Police in the country on high alert since deadly shooting last week
2/24/20,Supreme Court to Consider Religious Rights Case Involving Same-Sex Couples,High court to weigh Philadelphia’s decision to exclude Catholic group from foster care program
2/24/20,An Unexpected New Diagnosis in Older Adults: ADHD,"For years, ADHD has been considered a disorder of kids and younger adults. Now, doctors are realizing older people have it too—and it’s sometimes mistaken for dementia."
2/24/20,Supreme Court Signals Resistance to Blocking Atlantic Coast Pipeline,"During oral arguments, justices question lower court ruling that blocked pipeline path under Appalachian Trail"
2/24/20,Tobacco Bosses Mix and Match Their Nicotine Hit,"Number of cigarettes sold globally is in decline, but many consumers are just getting their nicotine fix elsewhere"
2/24/20,Jussie Smollett Pleads Not Guilty to New Charges,Former ‘Empire’ actor’s legal team files motion to dismiss case on double-jeopardy grounds 
2/24/20,Facebook Investigated Suspicious Pro-Sanders Content,Social-media giant hasn’t substantiated the activity it reviewed; senior officials alerted to internal probe
2/24/20,"Coronavirus’s Global Spread May Not Be Contained, WHO Says","Number of new cases in China declines, but it isn’t clear whether outbreak can be stopped from spreading globally, World Health Organization says  "
2/24/20,"Glass, Once the King of Packaging, Seeks a Comeback",
2/24/20,"Teck Pulls Oil Project, Blames Canada’s Climate-Policy Uncertainty","CEO says ‘no constructive path forward’ for multibillion-dollar oil sands mine, which has become flashpoint in climate-change debate"
2/24/20,How Fashion Designers Became the New Instagram Influencers,"Designers like Marc Jacobs, Virgil Abloh and Donatello Versace are moonlighting as social media influencers, putting a more human, less polished spin on brand marketing"
2/24/20,Toy Industry Looks to YouTube Talent for Next Generation of Merchandise,YouTube stars such as Stevin “Blippi” John draw retailers’ interest as children seek products based on what they watch online
2/24/20,Maye Musk on Why She Can’t Always Make It to SpaceX and Tesla Launches,"The supermodel, dietitian and mother to Elon, Kimbal and Tosca talks about her go-to breakfast, favorite TV shows and how she and her busy family stay in touch"
2/24/20,JetBlue Closes Sustainability-Linked Loan With BNP Paribas,Airline looks to align its financial strategy with ESG goals through credit facility 
2/24/20,Pioneering NASA Mathematician Katherine Johnson Has Died,Johnson calculated rocket trajectories and earth orbits by hand during NASA’s early years
2/24/20,"In Malibu, A Concrete Compound Designed By Japanese Starchitect Asks $75 Million","The home built with 1,200 tons of concrete is one of the few private residences designed by Tadao Ando in the United States"
2/24/20,Retracing the Boy Scouts’ Path to Bankruptcy,Decades of failing to fully confront a sex-abuse crisis led to the youth organization’s day of reckoning 
2/24/20,Where’s My Cup? Offices Find It’s Not Easy Going Green,"More offices are embracing sustainability initiatives, including using less plastic, but the execution isn’t always smooth"
2/24/20,Steve Wynn Pays $105 Million for Pair of Picassos,The sale comes as a trio of private galleries sell off works from the estate of Don Marron
2/24/20,Mallinckrodt Enters Creditor Talks Ahead of Potential Generics Bankruptcy,The Ireland-based company is considering a chapter 11 filing for its U.S. generic-drug business to address debts to creditors and claims stemming from opioid addiction
2/24/20,U.S. Stocks Sink as Coronavirus Cases Mount Outside of Asia,"Dow, S&P 500 fall more than 2% after steep declines across Europe, Asia"
2/24/20,"Weinstein Found Guilty of Third-Degree Rape, First-Degree Criminal Sexual Act",Hollywood producer found not guilty of predatory sexual assault and first-degree rape
2/24/20,"Dow Industrials Close 1,000 Points Lower as Coronavirus Cases Mount","S&P 500, Nasdaq fall 3% after steep declines across Europe, Asia; bond yields approach new low"
2/24/20,NRA Fails to Stop Former Ad Agency From Cooperating With New York Probe,Judge rules gun-rights group can’t prevent Ackerman McQueen from answering subpoena
2/24/20,Juul Pitches Locked E-Cigarette in Bid to Stay on U.S. Market,Company submits age-verification system along with new marketing plan to persuade FDA its products benefit public health 
2/25/20,Translating Harry Potter Into Yiddish Isn’t Totally Meshugge,"Despite the many obstacles, a quixotic publishing feat has generated some magic of its own"
2/25/20,Kreis Beall Brings It Home,"The Blackberry Farm co-founder describes how she went from building a 4,200-acre resort to discovering what matters in a 1,500-square-foot carriage house in Knoxville, Tenn."
2/25/20,Supreme Court Weighs Law on Urging Noncitizens to Stay in U.S. Illegally,Justices consider free-speech arguments against government efforts to control U.S. borders 
2/25/20,What’s Julian Schnabel’s Legacy? He Isn’t Sure.,"“A long time ago, I had a show at the Whitney. Was I excited about that? Yeah, I was. Does it matter now? No.”"
2/25/20,Environmental Groups Sue U.S. Over Lightbulb Energy Standards,"Natural Resources Defense Council, the Sierra Club and the Consumer Federation of America argue for phasing out incandescent bulbs "
2/25/20,Weinstein Verdict Signals Cultural Shift on Sexual Assault,"People will consider evidence that in the past doomed cases in the era of #MeToo, experts say "
2/25/20,A Singer and Her T-Bucket Make Beautiful Music Together,
2/25/20,Dow Industrials Close Nearly 900 Points Lower,"Treasury yields hit new bottom, Nasdaq’s 2020 gains vanish as markets signal growing virus concern"
2/25/20,William Barr Urges Lawmakers Not to Weaken U.S. Spying Powers,Attorney general says he is considering ordering a range of requirements to address report faulting FBI probe of Carter Page 
2/25/20,Small Texas Cities Sued Over Abortion Bans,ACLU says anti-abortion ‘sanctuaries’ are violating the Constitution 
2/25/20,FAA Proposes Safety Fix for Another 737 MAX Production Lapse,Boeing says proposal isn’t expected to affect mid-2020 return for the grounded jets 
2/25/20,Yield on 10-Year U.S. Treasury Note Hits Record Low,"Benchmark bond yield settles at 1.328%, breaching previous low set in July 2016"
2/25/20,Hot Pockets Scion Given Five-Month Prison Term in College Admissions Case,"Michelle Janavs agreed to pay $300,000 to cheat daughters’ way into college"
2/25/20,Harvey Weinstein Conviction Is a Lifeline for Manhattan District Attorney,Cyrus Vance gets boost as possible re-election bid nears after criticism over prosecution record
2/25/20,Amazon Opens Cashierless Supermarket in Latest Push to Sell Food,The e-commerce giant is also looking into licensing the checkout-free technology to rival retailers 
2/25/20,DP World Buys Canadian Cargo Terminal for $290 Million,The multi-purpose terminal near the Port of Vancouver will add to the Dubai-based operator’s capacity on Canada’s West Coast 
2/25/20,Dow Industrials Fall More Than 900 Points,"Treasury yields hit new bottom, Nasdaq 2020 gains gone as markets signal growing coronavirus concern"
2/25/20,Disney CEO Bob Iger Steps Aside; Bob Chapek Named New Head,Chapek has led Disney Parks since 2015; Iger to stay on as executive chairman
2/25/20,Clemency for Rod Blagojevich Came After Long Campaign Tailored to Trump,"Republican consultant enlisted Fox News, Rudy Giuliani and Jesse Jackson to help get ex-governor out of prison "
2/25/20,Cars.com CTO Boosts Staff Cloud Skills in Move to Amazon Web Services,AWS will drive Cars.com’s new website 
2/25/20,Virgin Galactic Plans to Resume Space-Tourism Sales,Company backed by Richard Branson says it has secured 20 of 29 necessary approvals from FAA 
2/25/20,Port of Los Angeles Sees Coronavirus Impact Sharply Reducing Imports,Shipping companies have canceled a quarter of sailings to the port as the impact of the outbreak in China affects business operations across the Pacific 
2/25/20,Tesla’s Driver-Assistance Autopilot Draws Safety Scrutiny,National Transportation Safety Board urges closer oversight of car-automation features 
2/25/20,"FanDuel Founders, Former Employees Sue Over Getting Nothing in Deal",Lawsuit alleges board undervalued legalized sports betting ahead of merger with Paddy Power
2/25/20,Retail Tycoon Resigns After Manhattan Office Raid in Sex-Trafficking Probe,"Canadian fashion executive Peter Nygard, denying allegations, steps down from company amid federal investigation"
2/25/20,China Lifts Import Restrictions on U.S. Farm Goods,"Chinese leaders have removed barriers on U.S. poultry, poultry products and pet food, along with other actions, U.S. officials say "
2/25/20,"This Stock Has Returned 4,100% Since the Housing Crash","Owners of mobile-home parks have trounced the broader market thanks to soaring house prices, nimbyism and tenants that can’t move out"
2/25/20,Salesforce Co-CEO Keith Block Steps Down,Executive change came as Salesforce reported quarterly earnings swung to a net loss of $248 million
2/25/20,New Cases Drop in China as Virus Spreads Globally,"With pace of new cases slowing, several Chinese provinces lower their health-alert levels "
2/25/20,Disney Names New CEO to Succeed Iger,Bob Chapek has led Disney Parks; Robert Iger to be executive chairman
2/25/20,Supreme Court Tosses Lawsuit Against U.S. Border Patrol Agent Who Killed Mexican Teenager,Court’s 5-4 decision says U.S. legal claims against officer not allowed for cross-border shooting
2/25/20,Streaming Surge Turns U.S. Recorded-Music Sales Up to $11 Billion,"Revenue grew 13% in 2019 to the highest point in more than a decade, with streaming accounting for 80% of overall revenue"
2/25/20,Bernie Sanders to Face Scrutiny in South Carolina Democratic Debate,Rivals have seized on Sanders’s defense of positive comments he made about Fidel Castro’s literacy program 
2/25/20,"A Trove of Georgia O’Keeffe Mementos, for Sale at Sotheby’s","The artist’s address book, recipe box, clothes and art supplies will be part of a sale on March 5 at the auction house in New York"
2/25/20,Rivals Race to Catch Nike’s Vaporfly,Saturday’s U.S. Olympic marathon trials will test brands’ answers to the industry leader’s high-tech shoes  
2/25/20,"The Taj Mahal, Folk Dancers, ‘Hey Jude’: Trump’s 36 Hours in India","President and Prime Minister Modi celebrate their relationship, sidestep trade issues"
2/25/20,SEC Investigating Mattel’s Accounting,The toy maker said it resolved an accounting error after an internal probe last year; SEC and federal prosecutors want a closer look 
2/25/20,More States Consider Free Tampons in School Bathrooms,Wave of student activism helps fuel bills in more than a dozen states 
2/25/20,Internet Shutdowns Become a Favorite Tool of Governments: ‘It’s Like We Suddenly Went Blind’,"Governments increasingly order telecoms to turn off web access in neighborhoods, regions or whole countries, sometimes for months"
