publish_date,headline,description
2020-02-22,"U.S., Taliban Start Weeklong Partial Truce in Effort to End Afghan War","U.N. says more than 10,000 civilians killed and injured in Afghanistan last year "
2020-02-22,Intuit Near Deal to Buy Credit Karma for $7 Billion,Acquisition would be Intuit’s largest ever and the first sizable transaction under CEO Sasan Goodarzi
2020-02-22,Singapore Isn’t Kidding When It Comes to Fostering Fertility,"Government offers cash grants and public housing, but birthrates remain stubbornly low"
2020-02-22,Don’t Talk to Strangers? These Apps Encourage It.,Young people flock to apps that let them chat with like-minded people online. But safeguards are imperfect. 
2020-02-22,Wall-to-Wall Carpet Is Back: Why Design Pros Love (and Hate) It,The memory of icky midcentury shag and synthetic cut pile has left many skeptical of broadloom carpet. But advances in technology are changing some minds
2020-02-22,One Last Shot for a Historic Manhattan Bar,South Street Seaport’s Bridge Cafe has remained closed since superstorm Sandy. Its former manager still hopes to revive it. 
2020-02-22,Trump’s India Visit to Stress Personal Ties Over Economic Issues,"The U.S. president will likely receive a festive welcome from Prime Minister Modi, including a rally at a 110,000-seat cricket stadium"
2020-02-22,‘To Kill a Mockingbird’ Gets a Bigger Stage—for a Day,"In rare occasion, production will be put on in Madison Square Garden for New York City teens "
2020-02-22,Twitter Suspends Some Accounts Backing Michael Bloomberg,Social-media site says users violated rules against manipulation and spam
2020-02-22,Build a Smoother Smoothie. You’ve Earned It.,"With a calming shot of rum and considerably less sugar, this grown-up riff on an Orange Julius takes the edge off winter (and aging)"
2020-02-22,"Italy, South Korea Work to Contain Coronavirus Outbreaks",International health officials are worried about growing clusters of the illness outside of China
2020-02-22,Carlos Ghosn’s New Life in Exile,
2020-02-22,Dropbox Finally Doesn’t Drop,Lowly valued cloud player boosts profitability target and drops in a buyback plan 
2020-02-22,Warren Buffett’s Berkshire Hathaway Stock Underperforms the Most Since 2009,The conglomerate’s stock rose 11% in 2019 compared with a 31.5% total return in the S&P 500
2020-02-23,"Tapping Trump’s Anger About 2016 Surveillance, White House Seeks Overhaul of Spying Law",Effort is spurred by president’s criticism of the investigation of former campaign adviser Carter Page 
2020-02-23,Bernie Sanders Looks Ahead After Nevada Caucuses Win,"Contests in 15 states over the coming week and a half, including Super Tuesday, could determine the course of the race for the Democratic nomination."
2020-02-23,‘No One Should Experience Such Heartache’: Readers Share Stories of Losing Loved Ones to Drug Addiction,"‘What a Father Learned After Losing Both Sons to Drug Overdoses,’ an interview with author Steve Grant, prompted readers to relate their experiences"
2020-02-23,Russia Leans on Mercenary Forces to Regain Global Clout,Campaigns in Africa and the Middle East involve private security contractors and business interests with ties to Kremlin
2020-02-23,Residents in Mississippi Capital and Beyond Brace for More Flooding,
2020-02-23,Should All Children Learn to Code by the End of High School?,Supporters say coding know-how is good for students in an increasingly digital world. Opponents say public schools shouldn’t serve as job-training sites for tech companies.
2020-02-23,"Swiss Franc Climbs Against Euro, Leaving Central Bank in Bind","Swiss National Bank might be forced to intervene to stem franc’s rise, which risks angering U.S. "
2020-02-23,What’s the Best Way to Use the Cloud to Store Personal Data?,The Wall Street Journal hosted a conversation by email with three experts on cloud storage and the security and privacy issues around it
2020-02-23,"Democratic Leaders Split on Taxes, New Bail Law",Assembly members expected to propose raising income taxes to address budget deficit; senators are reluctant 
2020-02-23,ESG Funds Mostly Track the Market,Push toward ‘sustainability’ in investing so far isn’t having outsize impact on stocks 
2020-02-23,Turning to Weightlifting to Battle Against ‘Skinny Fat’,
2020-02-23,"Move Over, Elliott. Argentina’s New Bond-Market Nemesis Is Fidelity.","The mutual-fund giant isn’t known for tough tactics, but its hard line on a $250 million payment underscores the growing power of large fund firms"
2020-02-23,Natural-Gas Exporters Struggle to Lock Up Buyers Despite ‘Freedom Gas’ Pitch,"President Trump plans to make the case during his trip to India, but the global gas glut has made the market more commoditized"
2020-02-23,Does the U.S. Need a National Digital Currency?,Proponents say payments with a digital dollar would be faster and easier. Opponents say it would be costly and inefficient.
2020-02-23,Chinese Military Turns to U.S. University to Conduct Covert Research,Case of Chinese researcher at Boston University renews fears Beijing is targeting American academia
2020-02-23,The Take-No-Prisoners Rivalries in Online Luxury Fashion,
2020-02-23,"Losing $450,000 in Three Days: Hackers Trick Victims Into Big Wire Transfers",
2020-02-23,"If You Knead No-Carb Bread, It Might Cost You Some Dough","Hoping to make the perfect loaf with no (or few) carbs, bakers are trying ingredients including bamboo, green bananas, cauliflower and powdered collagen. ‘It looked like silicon, globs of silicon and glue all through it.’
		
			"
2020-02-23,Boeing Offers More Support for MAX Suppliers,"A network of 600 big suppliers, plus hundreds of smaller firms, has been in limbo since Boeing halted 737 MAX production "
2020-02-23,National Security Adviser Discounts Reports of Russian Interference to Help Re-elect Trump,"‘There’s no briefing that I’ve received, that the president has received, that says that President Putin is doing anything to try and influence the elections in favor of President Trump,’ Robert O’Brien said"
2020-02-23,Should Government Halt the Use of Facial-Recognition Technology?,"Critics say false positives are far higher for some groups of people than for others, but supporters of the technology says the actual numbers involved are tiny"
2020-02-23,"Physicians, Hospitals Meet Their New Competitor: Insurer-Owned Clinics",Insurers are a new threat to doctors and hospital systems that have made big investments in physician practices 
2020-02-23,Bernie Sanders Looks Ahead After Nevada Caucus Win,Contests in 15 states over the coming week and a half could determine the course of the race
2020-02-23,AI Is the Next Workplace Disrupter—and It’s Coming for High-Skilled Jobs,"Occupations most vulnerable to artificial intelligence are marketing specialist, financial adviser and computer programmer, Brookings study finds "
2020-02-23,Falling Fuel Costs Buoy U.S. Consumers,
2020-02-23,World Economy Shudders as Coronavirus Threatens Global Supply Chains,Manufacturers’ increased reliance on more interconnected China sees shortages ripple around the globe
2020-02-23,Startups Wrap Brand Identity With Sustainable Packaging,Companies are focusing on whether a customer feels guilty or virtuous about how the product was boxed to drive business results
2020-02-23,Coronavirus Spreads Outside China as Officials’ Worries Mount,"The emergence of clusters of infection in new countries including South Korea, Italy and Iran show that it is unclear how the virus is transmitted"
2020-02-24,Maye Musk on Why She Can’t Always Make It to SpaceX and Tesla Launches,"The supermodel, dietitian and mother to Elon, Kimbal and Tosca talks about her go-to breakfast, favorite TV shows and how she and her busy family stay in touch"
2020-02-24,"Salesforce, Silver Lake Pump Money Into ServiceMax",The new $80 million investment is aimed at helping the software company beef up product development 
2020-02-24,Jussie Smollett Pleads Not Guilty to New Charges,Former ‘Empire’ actor’s legal team files motion to dismiss case on double-jeopardy grounds 
2020-02-24,He Went to a Hockey Game Expecting Dinner. He Wound Up Getting the Win.,"A talk with “emergency back-up goalie” David Ayres, who stopped the Toronto Maple Leafs Saturday night—and became an overnight NHL sensation"
2020-02-24,"Coronavirus’s Global Spread May Not Be Contained, WHO Says","Number of new cases in China declines, but it isn’t clear whether outbreak can be stopped from spreading globally, World Health Organization says  "
2020-02-24,Several Injured as Car Runs Into Carnival Parade in Germany,Police in the country on high alert since deadly shooting last week
2020-02-24,The Metropolitan Museum of Art Orders the Full English,"After six years of work—and a regime change—the Met unveils its revamped British Galleries, reimagined in cinematic style by design stars Roman and Williams"
2020-02-24,Investors Retreat From Oil Firms in Sign of Rising Skepticism,"Major oil companies, pressed to cut carbon emissions, are shunned in markets as they mull greener future"
2020-02-24,HSBC Keeps Net Open for New CEO,"Unicredit boss Jean Pierre Mustier ruled himself out, but interim CEO Noel Quinn may still not get the job"
2020-02-24,Texas House Race Tests Democratic Voters’ Appetite for Liberal Insurgents,
2020-02-24,Coronavirus Tests Europe’s Open Borders as Italy Death Toll Rises,Schools are closed and gatherings are banned as Italy reports a sixth virus-related death
2020-02-24,"With Migrant Workers in Limbo, Part of China’s Economy Is Stalled","Many must choose the least-bad option: Stay in their hometowns without jobs, or return to expensive cities and a 14-day quarantine"
2020-02-24,"Austin, Nashville Rank at Top of Hottest U.S. Job Markets",Apple is building $1 billion corporate campus in Texas capital; Amazon is investing in Tennessee city 
2020-02-24,Michael Bloomberg Aims to Improve in His Second Democratic Debate,Former New York City mayor kept away from the public eye all weekend to prepare
2020-02-24,Dozens Injured as Car Runs Into Carnival Parade in Germany,Police in the country on high alert since deadly shooting last week
2020-02-24,Trump Kicks Off Two-Day India Visit With Massive Rally,"The two countries share concerns about terrorism, immigration and the rise of China as a superpower"
2020-02-24,"Dow Industrials Drop 1,000 Points as Coronavirus Cases Mount Outside Asia","S&P 500, Nasdaq fall more than 3% after steep declines across Europe, Asia; bond yields slide"
2020-02-24,‘The Last American Hammer’ Review: Standoff Satire,An unemployed conspiracy theorist faces off against a federal agent inside a museum of Toby jugs in this ruefully humorous work at Pittsburgh Opera.
2020-02-24,"With Current Tools, Fed Unlikely To Sustainably Hit Inflation Target: Fed Paper",San Francisco Fed paper finds public worries that in the next downturn the central bank will once again hit de facto zero rates
2020-02-24,Primark Owner ABF Looks for Suppliers Outside of China Amid Coronavirus Outbreak,"U.K. conglomerate has enough inventory to fill shelves in its Primark unit through the summer months, finance chief John Bason says "
2020-02-24,"As NCAA Handwrings, Female Athletes See Opportunities From Looser Endorsement Rules","Athletes will likely be allowed to promote products and their own businesses under changes to name, image and likeness restrictions "
2020-02-24,Scientists Detect for the First Time Quakes on Mars,"Initial findings about Martian interior, atmosphere and magnetic field are published in research papers"
2020-02-24,JetBlue Closes Sustainability-Linked Loan With BNP Paribas,Airline looks to align its financial strategy with ESG goals through credit facility 
2020-02-24,"Malaysian Prime Minister Mahathir Mohamad Resigns, Cabinet Dissolved",Moves plunge country into chaos less than two years after 94-year-old leader took office in historic election
2020-02-24,Steve Wynn Pays $105 Million for Pair of Picassos,The sale comes as a trio of private galleries sell off works from the estate of Don Marron
2020-02-24,Weinstein Found Guilty of Third-Degree Rape and First-Degree Criminal Sexual Act,Hollywood producer found not guilty of predatory sexual assault and first-degree rape
2020-02-24,Dine Looks to Slow Closures of Applebee’s Restaurants,Company expects franchise operators to close between zero and up to 10 Applebee’s locations this year in the U.S.
2020-02-24,Facebook Investigated Suspicious Pro-Sanders Content,Social-media giant hasn’t substantiated the activity it reviewed; senior officials alerted to internal probe
2020-02-24,"Assange Put Lives at Risk, U.S. Argues as Extradition Hearing Begins",WikiLeaks founder appears in packed London courtroom for legal battle expected to last several months
2020-02-24,"Glass, Once the King of Packaging, Seeks a Comeback",
2020-02-24,Supreme Court to Consider Religious Rights Case Involving Same-Sex Couples,High court to weigh Philadelphia’s decision to exclude Catholic group from foster care program
2020-02-24,"Teck Pulls Oil Project, Blames Canada’s Climate-Policy Uncertainty","CEO says ‘no constructive path forward’ for multibillion-dollar oil sands mine, which has become flashpoint in climate-change debate"
2020-02-24,How Fashion Designers Became the New Instagram Influencers,"Designers like Marc Jacobs, Virgil Abloh and Donatello Versace are moonlighting as social media influencers, putting a more human, less polished spin on brand marketing"
2020-02-24,Toy Industry Looks to YouTube Talent for Next Generation of Merchandise,YouTube stars such as Stevin “Blippi” John draw retailers’ interest as children seek products based on what they watch online
2020-02-24,Tobacco Bosses Mix and Match Their Nicotine Hit,"Number of cigarettes sold globally is in decline, but many consumers are just getting their nicotine fix elsewhere"
2020-02-24,Supreme Court Signals Resistance to Blocking Atlantic Coast Pipeline,"During oral arguments, justices question lower court ruling that blocked pipeline path under Appalachian Trail"
2020-02-24,An Unexpected New Diagnosis in Older Adults: ADHD,"For years, ADHD has been considered a disorder of kids and younger adults. Now, doctors are realizing older people have it too—and it’s sometimes mistaken for dementia."
2020-02-24,Pioneering NASA Mathematician Katherine Johnson Has Died,Johnson calculated rocket trajectories and earth orbits by hand during NASA’s early years
2020-02-24,"In Malibu, A Concrete Compound Designed By Japanese Starchitect Asks $75 Million","The home built with 1,200 tons of concrete is one of the few private residences designed by Tadao Ando in the United States"
2020-02-24,Retracing the Boy Scouts’ Path to Bankruptcy,Decades of failing to fully confront a sex-abuse crisis led to the youth organization’s day of reckoning 
2020-02-24,Where’s My Cup? Offices Find It’s Not Easy Going Green,"More offices are embracing sustainability initiatives, including using less plastic, but the execution isn’t always smooth"
2020-02-24,"Weinstein Found Guilty of Third-Degree Rape, First-Degree Criminal Sexual Act",Hollywood producer found not guilty of predatory sexual assault and first-degree rape
2020-02-24,"Dow Industrials Close 1,000 Points Lower as Coronavirus Cases Mount","S&P 500, Nasdaq fall 3% after steep declines across Europe, Asia; bond yields approach new low"
2020-02-24,NRA Fails to Stop Former Ad Agency From Cooperating With New York Probe,Judge rules gun-rights group can’t prevent Ackerman McQueen from answering subpoena
2020-02-24,Mallinckrodt Enters Creditor Talks Ahead of Potential Generics Bankruptcy,The Ireland-based company is considering a chapter 11 filing for its U.S. generic-drug business to address debts to creditors and claims stemming from opioid addiction
2020-02-24,U.S. Stocks Sink as Coronavirus Cases Mount Outside of Asia,"Dow, S&P 500 fall more than 2% after steep declines across Europe, Asia"
2020-02-24,Juul Pitches Locked E-Cigarette in Bid to Stay on U.S. Market,Company submits age-verification system along with new marketing plan to persuade FDA its products benefit public health 
2020-02-25,Supreme Court Weighs Law on Urging Noncitizens to Stay in U.S. Illegally,Justices consider free-speech arguments against government efforts to control U.S. borders 
2020-02-25,What’s Julian Schnabel’s Legacy? He Isn’t Sure.,"“A long time ago, I had a show at the Whitney. Was I excited about that? Yeah, I was. Does it matter now? No.”"
2020-02-25,William Barr Urges Lawmakers Not to Weaken U.S. Spying Powers,Attorney general says he is considering ordering a range of requirements to address report faulting FBI probe of Carter Page 
2020-02-25,Dow Industrials Close Nearly 900 Points Lower,"Treasury yields hit new bottom, Nasdaq’s 2020 gains vanish as markets signal growing virus concern"
2020-02-25,"FanDuel Founders, Former Employees Sue Over Getting Nothing in Deal",Lawsuit alleges board undervalued legalized sports betting ahead of merger with Paddy Power
2020-02-25,Translating Harry Potter Into Yiddish Isn’t Totally Meshugge,"Despite the many obstacles, a quixotic publishing feat has generated some magic of its own"
2020-02-25,Small Texas Cities Sued Over Abortion Bans,ACLU says anti-abortion ‘sanctuaries’ are violating the Constitution 
2020-02-25,Weinstein Verdict Signals Cultural Shift on Sexual Assault,"People will consider evidence that in the past doomed cases in the era of #MeToo, experts say "
2020-02-25,A Singer and Her T-Bucket Make Beautiful Music Together,
2020-02-25,Kreis Beall Brings It Home,"The Blackberry Farm co-founder describes how she went from building a 4,200-acre resort to discovering what matters in a 1,500-square-foot carriage house in Knoxville, Tenn."
2020-02-25,FAA Proposes Safety Fix for Another 737 MAX Production Lapse,Boeing says proposal isn’t expected to affect mid-2020 return for the grounded jets 
2020-02-25,Amazon Opens Cashierless Supermarket in Latest Push to Sell Food,The e-commerce giant is also looking into licensing the checkout-free technology to rival retailers 
2020-02-25,Hot Pockets Scion Given Five-Month Prison Term in College Admissions Case,"Michelle Janavs agreed to pay $300,000 to cheat daughters’ way into college"
2020-02-25,Port of Los Angeles Sees Coronavirus Impact Sharply Reducing Imports,Shipping companies have canceled a quarter of sailings to the port as the impact of the outbreak in China affects business operations across the Pacific 
2020-02-25,Virgin Galactic Plans to Resume Space-Tourism Sales,Company backed by Richard Branson says it has secured 20 of 29 necessary approvals from FAA 
2020-02-25,Cars.com CTO Boosts Staff Cloud Skills in Move to Amazon Web Services,AWS will drive Cars.com’s new website 
2020-02-25,Clemency for Rod Blagojevich Came After Long Campaign Tailored to Trump,"Republican consultant enlisted Fox News, Rudy Giuliani and Jesse Jackson to help get ex-governor out of prison "
2020-02-25,Yield on 10-Year U.S. Treasury Note Hits Record Low,"Benchmark bond yield settles at 1.328%, breaching previous low set in July 2016"
2020-02-25,Dow Industrials Fall More Than 900 Points,"Treasury yields hit new bottom, Nasdaq 2020 gains gone as markets signal growing coronavirus concern"
2020-02-25,Disney CEO Bob Iger Steps Aside; Bob Chapek Named New Head,Chapek has led Disney Parks since 2015; Iger to stay on as executive chairman
2020-02-25,Retail Tycoon Resigns After Manhattan Office Raid in Sex-Trafficking Probe,"Canadian fashion executive Peter Nygard, denying allegations, steps down from company amid federal investigation"
2020-02-25,DP World Buys Canadian Cargo Terminal for $290 Million,The multi-purpose terminal near the Port of Vancouver will add to the Dubai-based operator’s capacity on Canada’s West Coast 
2020-02-25,Harvey Weinstein Conviction Is a Lifeline for Manhattan District Attorney,Cyrus Vance gets boost as possible re-election bid nears after criticism over prosecution record
2020-02-25,Tesla’s Driver-Assistance Autopilot Draws Safety Scrutiny,National Transportation Safety Board urges closer oversight of car-automation features 
2020-02-25,Environmental Groups Sue U.S. Over Lightbulb Energy Standards,"Natural Resources Defense Council, the Sierra Club and the Consumer Federation of America argue for phasing out incandescent bulbs "
2020-02-25,Salesforce Co-CEO Keith Block Steps Down,Executive change came as Salesforce reported quarterly earnings swung to a net loss of $248 million
2020-02-25,"Hilton’s Waldorf Beverly Hills Used a Mole to Steal Secrets From Rival, Lawsuit Says","Peninsula Beverly Hills alleges former employee stole over 45,000 documents, according to suit "
2020-02-25,Internet Shutdowns Become a Favorite Tool of Governments: ‘It’s Like We Suddenly Went Blind’,"Governments increasingly order telecoms to turn off web access in neighborhoods, regions or whole countries, sometimes for months"
2020-02-25,Supreme Court Tosses Lawsuit Against U.S. Border Patrol Agent Who Killed Mexican Teenager,Court’s 5-4 decision says U.S. legal claims against officer not allowed for cross-border shooting
2020-02-25,Streaming Surge Turns U.S. Recorded-Music Sales Up to $11 Billion,"Revenue grew 13% in 2019 to the highest point in more than a decade, with streaming accounting for 80% of overall revenue"
2020-02-25,"The Taj Mahal, Folk Dancers, ‘Hey Jude’: Trump’s 36 Hours in India","President and Prime Minister Modi celebrate their relationship, sidestep trade issues"
2020-02-25,Rivals Race to Catch Nike’s Vaporfly,Saturday’s U.S. Olympic marathon trials will test brands’ answers to the industry leader’s high-tech shoes  
2020-02-25,New Cases Drop in China as Virus Spreads Globally,"With pace of new cases slowing, several Chinese provinces lower their health-alert levels "
2020-02-25,SEC Investigating Mattel’s Accounting,The toy maker said it resolved an accounting error after an internal probe last year; SEC and federal prosecutors want a closer look 
2020-02-25,Bernie Sanders to Face Scrutiny in South Carolina Democratic Debate,Rivals have seized on Sanders’s defense of positive comments he made about Fidel Castro’s literacy program 
2020-02-25,"A Trove of Georgia O’Keeffe Mementos, for Sale at Sotheby’s","The artist’s address book, recipe box, clothes and art supplies will be part of a sale on March 5 at the auction house in New York"
